<<<<<<< HEAD
specorder,order,Sites,site,trantype,Species,MA
1,1,M1,1,Margin transects,Acorn Woodpecker,0
1,2,M2,2,Margin transects,Acorn Woodpecker,0
1,3,M3,3,Margin transects,Acorn Woodpecker,0
1,4,M4,4,Margin transects,Acorn Woodpecker,0
1,5,M5,5,Margin transects,Acorn Woodpecker,0
1,6,M6,6,Margin transects,Acorn Woodpecker,0
1,7,M7,7,Margin transects,Acorn Woodpecker,0
1,8,M8,8,Margin transects,Acorn Woodpecker,0
1,9,M9,9,Margin transects,Acorn Woodpecker,0
1,10,M10,10,Margin transects,Acorn Woodpecker,0
1,11,M11,11,Margin transects,Acorn Woodpecker,0
1,12,M12,12,Margin transects,Acorn Woodpecker,0
1,13,M13,13,Margin transects,Acorn Woodpecker,0
1,14,M14,14,Margin transects,Acorn Woodpecker,0
1,15,M15,15,Margin transects,Acorn Woodpecker,0
1,16,M16,16,Margin transects,Acorn Woodpecker,0
1,17,M17,17,Margin transects,Acorn Woodpecker,1
1,18,M18,18,Margin transects,Acorn Woodpecker,0
1,19,M19,19,Margin transects,Acorn Woodpecker,0
1,20,M20,20,Margin transects,Acorn Woodpecker,0
1,21,I1,1,Interior transects,Acorn Woodpecker,0
1,22,I2,2,Interior transects,Acorn Woodpecker,0
1,23,I3,3,Interior transects,Acorn Woodpecker,0
1,24,I4,4,Interior transects,Acorn Woodpecker,0
1,25,I5,5,Interior transects,Acorn Woodpecker,0
1,26,I6,6,Interior transects,Acorn Woodpecker,0
1,27,I7,7,Interior transects,Acorn Woodpecker,0
1,28,I8,8,Interior transects,Acorn Woodpecker,0
1,29,I9,9,Interior transects,Acorn Woodpecker,0
1,30,I10,10,Interior transects,Acorn Woodpecker,0
1,31,I11,11,Interior transects,Acorn Woodpecker,0
1,32,I12,12,Interior transects,Acorn Woodpecker,0
1,33,I13,13,Interior transects,Acorn Woodpecker,0
1,34,I14,14,Interior transects,Acorn Woodpecker,0
1,35,I15,15,Interior transects,Acorn Woodpecker,0
1,36,I16,16,Interior transects,Acorn Woodpecker,0
1,37,I17,17,Interior transects,Acorn Woodpecker,0
1,38,I18,18,Interior transects,Acorn Woodpecker,0
1,39,I19,19,Interior transects,Acorn Woodpecker,0
1,40,I20,20,Interior transects,Acorn Woodpecker,0
2,41,M1,1,Margin transects,Bewick's Wren,1
2,42,M2,2,Margin transects,Bewick's Wren,0
2,43,M3,3,Margin transects,Bewick's Wren,0
2,44,M4,4,Margin transects,Bewick's Wren,0
2,45,M5,5,Margin transects,Bewick's Wren,0
2,46,M6,6,Margin transects,Bewick's Wren,0
2,47,M7,7,Margin transects,Bewick's Wren,0
2,48,M8,8,Margin transects,Bewick's Wren,0
2,49,M9,9,Margin transects,Bewick's Wren,1
2,50,M10,10,Margin transects,Bewick's Wren,0
2,51,M11,11,Margin transects,Bewick's Wren,2
2,52,M12,12,Margin transects,Bewick's Wren,0
2,53,M13,13,Margin transects,Bewick's Wren,0
