orchard,trantype,edgegen,AMCR,AMKE,AMRO,ANHU,BLPH,BRBL,COHA,CORA,DEJU,EUCD,EUST,GCSP,GHOW,HETH,HOFI,KILL,LASP,LEGO,LISP,MODO,NOFL,NOMO,NUWO,OATI,RCKI,RSHA,RTHA,RWBL,SAPH,SAVS,WBNU,WCSP,WEBL,WEME,CASJ,YBMA,YRWA,obsSR,obsAb,maxAb,lpred_SR,lpred_maxAb,wood_maxAb
1,I,habitat,2,0,0,0,0,0,1,0,15,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,50,9,78,32,2,2,2
2,I,control,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,36,18,2,1,1
3,I,habitat,0,0,14,0,2,16,0,0,17,9,176,0,0,0,24,0,1,5,0,4,2,0,4,0,0,1,1,1,1,2,0,10,17,0,0,0,65,20,372,210,2,2,2
4,I,control,2,0,14,0,2,182,0,0,0,5,1,0,0,0,18,2,0,0,1,4,2,0,2,0,2,0,0,19,0,4,0,14,1,14,0,4,35,20,328,252,3,6,2
5,I,habitat,0,0,3,0,2,38,0,0,0,0,18,0,0,0,4,23,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,2,4,0,0,30,12,132,81,0,0,0
6,I,control,0,0,11,0,0,9,0,0,0,0,3,0,0,0,7,0,0,0,0,47,4,0,0,0,0,0,0,1,0,1,0,0,0,13,0,1,7,11,104,55,2,5,4
7,I,habitat,2,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,7,65,37,1,4,4
8,I,control,0,0,4,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,2,0,4,0,0,0,0,0,0,2,0,0,3,5,0,0,34,10,116,91,2,4,4
9,I,habitat,3,0,26,0,1,7,0,2,34,2,31,5,0,0,0,12,0,0,0,16,12,0,4,0,0,0,0,6,0,1,1,8,0,10,2,0,41,20,224,110,3,9,9
10,I,control,0,0,4,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,7,3,0,5,0,0,0,0,0,0,18,0,0,5,0,0,2,36,11,90,36,3,4,3
11,I,habitat,0,0,7,0,5,0,0,0,9,1,0,0,0,0,1,0,0,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,57,21,2,3,3
12,I,control,4,0,9,0,1,0,0,0,0,0,70,0,0,0,7,0,0,0,0,9,8,0,0,0,0,0,1,210,0,2,0,0,0,0,0,0,45,11,366,345,1,4,4
13,I,habitat,4,0,5,1,0,0,0,0,5,0,0,0,1,0,84,0,0,4,0,6,5,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,116,13,243,120,2,7,7
14,I,control,2,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26,8,48,23,1,1,1
15,I,habitat,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,3,0,4,1,0,0,0,0,0,0,0,0,1,2,51,10,69,27,3,4,4
16,I,control,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,9,0,3,0,0,0,0,0,0,0,3,20,0,0,32,10,77,48,2,4,4
17,I,habitat,6,0,2,0,0,0,0,0,62,0,0,0,0,1,30,0,1,3,0,1,7,0,13,5,0,0,0,0,0,0,6,0,9,0,3,1,23,16,173,74,6,12,10
18,I,control,3,0,11,0,1,0,0,0,0,0,0,0,0,0,15,0,0,8,0,3,2,0,5,0,0,0,0,0,0,1,0,0,8,0,0,0,53,11,110,52,2,3,3
19,I,habitat,0,0,0,0,3,0,1,0,0,0,10,0,0,0,7,0,0,13,0,1,4,0,0,0,2,0,0,0,0,0,0,4,0,18,1,0,33,12,97,64,1,3,3
20,I,control,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,39,7,49,26,0,0,0
