<<<<<<< HEAD
orchard,visit,trantype,edgegen,AMCR,AMKE,AMRO,ANHU,BLPH,BRBL,COHA,CORA,DEJU,EUCD,EUST,GCSP,GHOW,HETH,HOFI,KILL,LASP,LEGO,LISP,MODO,NOFL,NOMO,NUWO,OATI,RCKI,RSHA,RTHA,RWBL,SAPH,SAVS,WBNU,WCSP,WEBL,WEME,CASJ,YBMA,YRWA,obsSR,obsAb,lpred_SR,lpred_totAb,wood_totAb
1,1,I,habitat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,28,4,32,1,2,2
1,2,I,habitat,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,25,1,2,2
1,3,I,habitat,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,7,21,2,2,2
2,1,I,control,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,1,1,1
2,2,I,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,18,0,0,0
2,3,I,control,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,1,1,1
3,1,I,habitat,0,0,0,0,1,0,0,0,6,1,130,0,0,0,7,0,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,5,9,0,0,0,44,14,210,2,2,2
3,2,I,habitat,0,0,0,0,1,0,0,0,9,8,26,0,0,0,11,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,5,5,0,0,0,16,12,87,1,2,2
3,3,I,habitat,0,0,14,0,0,16,0,0,2,0,20,0,0,0,6,0,0,3,0,1,1,0,1,0,0,1,1,0,0,1,0,0,3,0,0,0,5,14,75,2,2,2
4,1,I,control,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,12,1,0,0,0,21,9,45,2,2,2
4,2,I,control,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,4,9,11,31,3,6,2
4,3,I,control,2,0,13,0,0,182,0,0,0,5,1,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,19,0,4,0,0,0,13,0,0,5,12,252,0,0,0
5,1,I,habitat,0,0,0,0,1,38,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,13,7,81,0,0,0
5,2,I,habitat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,23,0,0,0
5,3,I,habitat,0,0,3,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,5,28,0,0,0
6,1,I,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,23,0,0,0
6,2,I,control,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,7,55,2,5,4
6,3,I,control,0,0,11,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,26,0,0,0
7,1,I,habitat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,1,1,1
7,2,I,habitat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,14,1,1,1
7,3,I,habitat,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,37,1,4,4
8,1,I,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,40,2,0,2,0,0,0,0,0,0,2,0,0,3,5,0,0,28,8,91,2,4,4
8,2,I,control,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,1,1,1
8,3,I,control,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1,1,1
9,1,I,habitat,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,1,0,0,1,2,0,11,10,29,3,7,6
9,2,I,habitat,1,0,3,0,1,7,0,2,14,0,20,5,0,0,0,12,0,0,0,10,7,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,17,14,110,2,9,9
9,3,I,habitat,2,0,22,0,0,0,0,0,15,1,11,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,13,10,85,1,1,1
10,1,I,control,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1,0,0,0,0,0,0,11,0,0,2,0,0,2,10,10,36,3,4,2
10,2,I,control,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,8,7,22,2,3,3
10,3,I,control,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,18,7,32,2,3,3
11,1,I,habitat,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,19,0,0,0
11,2,I,habitat,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,2,3,3
11,3,I,habitat,0,0,7,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,21,2,2,2
12,1,I,control,0,0,6,0,0,0,0,0,0,0,70,0,0,0,5,0,0,0,0,8,4,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,42,7,345,1,4,4
