<<<<<<< HEAD
"margintype","cum.rich","lo","hi","indiv","bootsamples","sample","plotindiv","plotsample"
"clean",2.02402402402402,1,3,5.69169169169169,3.01749093521908,3,5.69169169169169,2.65
"clean",2.43043043043043,2,3,11.6626626626627,4.24751693552273,6,11.6626626626627,5.65
"clean",2.59459459459459,2,3,17.2572572572573,5.04279132759151,9,17.2572572572573,8.65
"clean",2.71571571571572,2,3,23.0990990990991,5.85728647060964,12,23.0990990990991,11.65
"clean",2.81381381381381,2,3,29.3113113113113,6.36861843603067,15,29.3113113113113,14.65
"clean",2.83783783783784,2,3,34.4774774774775,6.82630501248591,18,34.4774774774775,17.65
"clean",2.9009009009009,2,3,40.7007007007007,7.95386934671917,21,40.7007007007007,20.65
"clean",2.91391391391391,2,3,46.0660660660661,8.61696837219997,24,45.5,23.65
"clean",2.92592592592593,2,3,51.6716716716717,8.63663657281526,27,51.6716716716717,26.65
"clean",2.96696696696697,2,3,58.3773773773774,9.57057577002912,30,58.3773773773774,29.65
"habitat",2.8008008008008,1,6,9.31631631631632,6.25173675621279,3,9.31631631631632,3
"habitat",3.61261261261261,2,6,18.6236236236236,8.7357374445368,6,18.6236236236236,6
"habitat",4.04704704704705,2,6,27.5465465465465,10.3638991889338,9,27.5465465465465,9
"habitat",4.41241241241241,2,6,37.3463463463463,12.3237947076441,12,37.3463463463463,12
"habitat",4.73873873873874,2,6,46.2582582582583,12.7900954826099,15,46.2582582582583,15
"habitat",4.91691691691692,2,6,55.2252252252252,14.1543992582181,18,55.2252252252252,18
"habitat",5.11411411411411,3,6,64.7267267267267,15.8781178244681,21,64.7267267267267,21
"habitat",5.28028028028028,3,6,74.4654654654655,17.0572699889963,24,74.4654654654655,24
"habitat",5.4034034034034,3,6,84.8908908908909,18.6957795090231,27,84.8908908908909,27
"habitat",5.42942942942943,3,6,91.7847847847848,19.1194098338185,30,91.7847847847848,30
=======
"margintype","cum.rich","lo","hi","indiv","bootsamples","sample","plotindiv","plotsample"
"clean",2.02402402402402,1,3,5.69169169169169,3.01749093521908,3,5.69169169169169,2.65
"clean",2.43043043043043,2,3,11.6626626626627,4.24751693552273,6,11.6626626626627,5.65
"clean",2.59459459459459,2,3,17.2572572572573,5.04279132759151,9,17.2572572572573,8.65
"clean",2.71571571571572,2,3,23.0990990990991,5.85728647060964,12,23.0990990990991,11.65
"clean",2.81381381381381,2,3,29.3113113113113,6.36861843603067,15,29.3113113113113,14.65
"clean",2.83783783783784,2,3,34.4774774774775,6.82630501248591,18,34.4774774774775,17.65
"clean",2.9009009009009,2,3,40.7007007007007,7.95386934671917,21,40.7007007007007,20.65
"clean",2.91391391391391,2,3,46.0660660660661,8.61696837219997,24,45.5,23.65
"clean",2.92592592592593,2,3,51.6716716716717,8.63663657281526,27,51.6716716716717,26.65
"clean",2.96696696696697,2,3,58.3773773773774,9.57057577002912,30,58.3773773773774,29.65
"habitat",2.8008008008008,1,6,9.31631631631632,6.25173675621279,3,9.31631631631632,3
"habitat",3.61261261261261,2,6,18.6236236236236,8.7357374445368,6,18.6236236236236,6
"habitat",4.04704704704705,2,6,27.5465465465465,10.3638991889338,9,27.5465465465465,9
"habitat",4.41241241241241,2,6,37.3463463463463,12.3237947076441,12,37.3463463463463,12
"habitat",4.73873873873874,2,6,46.2582582582583,12.7900954826099,15,46.2582582582583,15
"habitat",4.91691691691692,2,6,55.2252252252252,14.1543992582181,18,55.2252252252252,18
"habitat",5.11411411411411,3,6,64.7267267267267,15.8781178244681,21,64.7267267267267,21
"habitat",5.28028028028028,3,6,74.4654654654655,17.0572699889963,24,74.4654654654655,24
"habitat",5.4034034034034,3,6,84.8908908908909,18.6957795090231,27,84.8908908908909,27
"habitat",5.42942942942943,3,6,91.7847847847848,19.1194098338185,30,91.7847847847848,30
>>>>>>> 1c5673e73a321d2569c476a141c5e16ec7066860
