"margintype","cum.rich","lo","hi","indiv","bootsamples","sample","plotsample"
"clean",0.363363363363363,0,1,0.4994994994995,0.790569256452745,3,3
"clean",0.660660660660661,0,2,1.02602602602603,1.13397315380499,6,6
"clean",0.870870870870871,0,2,1.4974974974975,1.36508999158076,9,9
"clean",1.05505505505506,0,2,2.01201201201201,1.55392574671651,12,12
"clean",1.20620620620621,0,2,2.55655655655656,1.75291185016916,15,15
"clean",1.31231231231231,0,2,3.02102102102102,1.84861930782113,18,18
"clean",1.3973973973974,0,2,3.64864864864865,2.21166421340614,21,21
"clean",1.47547547547548,0,2,4.02102102102102,2.30807560199566,24,24
"clean",1.53353353353353,0,2,4.53853853853854,2.36758890449919,27,27
"clean",1.56656656656657,1,2,4.9039039039039,2.51782717479557,30,30
"habitat",3.61961961961962,1,7,9.00800800800801,6.06229649667212,3,3
"habitat",5.33333333333333,2,9,17.9379379379379,8.46057414019377,6,6
"habitat",6.21221221221221,3,9,26.4584584584585,10.3305113598475,9,9
"habitat",7.00500500500501,4,10,34.8758758758759,11.9436137088178,12,12
"habitat",7.5015015015015,5,10,44.3193193193193,13.3294593329721,15,15
"habitat",7.88288288288288,5,10,53.8188188188188,14.8215235832509,18,18
"habitat",8.11211211211211,5,10,62.2632632632633,16.0530733534094,21,21
"habitat",8.44344344344344,5,10,71.6636636636637,17.29187696605,24,24
"habitat",8.67067067067067,6,10,79.7887887887888,18.0896906621129,27,27
"habitat",8.87387387387387,6,10,89.052052052052,18.8136439769833,30,30
