orchard,trantype,edgegen,AMCR,AMGO,AMRO,BLPH,BRBL,CANV,EUCD,HOFI,LISP,MODO,NOFL,RCKI,SAPH,SAVS,WEME,YBMA,YRWA,ANHU,BEWR,BUSH,CALT,DEJU,EUST,FOSP,GCSP,GREG,HOSP,LEGO,LOSH,NOMO,NUWO,RBSA,RSHA,RWBL,SOSP,SPTO,WCSP,CASJ,ACWO,AMKE,CAQU,CEDW,HETH,OATI,RTHA,WBNU,WEBL,BGGN,COHA,GBHE,PHAI,PUFI,obsSR,totAb,maxtotAb,lpred_SR,lpred_maxAb,wood_maxAb
1,E,habitat,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,5,0,1,5,1,25,0,7,10,0,0,0,1,1,2,0,0,0,0,4,29,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17,100,52,4,7,2
2,E,control,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0
3,E,habitat,0,0,0,1,0,0,1,81,0,1,1,4,0,2,0,0,12,4,0,3,2,2,9,1,1,1,2,33,1,6,1,0,0,3,1,4,146,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,327,148,3,3,1
4,E,control,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0
5,E,habitat,0,0,3,0,0,0,1,3,0,2,0,1,0,0,0,0,18,0,0,0,0,37,0,0,0,0,3,0,0,4,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,96,39,0,0,0
6,E,control,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1
7,E,habitat,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,5,0,0,0,8,0,0,4,20,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,78,35,0,0,0
8,E,control,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,0,0,0
9,E,habitat,2,0,0,1,6,0,2,1,4,0,0,5,0,5,1,2,12,0,1,1,1,5,2,0,4,0,0,0,0,4,1,0,1,10,1,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,28,81,35,4,3,1
10,E,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
11,E,habitat,0,0,0,1,0,0,0,0,4,0,3,5,0,0,0,0,5,1,5,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1,13,2,0,0,8,0,0,0,0,0,1,0,0,1,0,0,18,57,29,3,4,2
12,E,control,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,48,1,1,1
13,E,habitat,0,0,12,0,0,0,0,6,0,2,3,6,0,0,0,0,35,0,0,6,0,11,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,1,4,3,0,0,0,0,0,15,101,57,4,7,3
14,E,control,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,8,1,1,0
15,E,habitat,0,0,0,2,0,0,0,1,0,0,2,5,0,0,0,0,22,0,0,13,0,0,0,5,1,0,0,0,0,2,2,0,0,0,0,3,10,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,15,81,32,3,15,2
16,E,control,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,15,0,0,0
17,E,habitat,0,0,0,1,0,0,1,1,0,1,2,2,0,0,0,1,5,0,2,0,0,7,1,0,2,0,0,0,0,0,7,1,0,0,0,2,0,4,1,0,0,0,1,6,0,2,3,0,0,0,0,0,21,53,27,9,11,4
18,E,control,0,0,0,0,0,1,0,0,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,1,2,2
19,E,habitat,0,0,1,0,0,0,0,15,1,0,0,9,0,0,0,0,9,0,2,0,0,1,0,1,17,0,0,0,0,1,3,1,1,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,90,39,3,3,3
20,E,control,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0
