orchard,hab,treepc1,seminat_c,margvegPC1,lpred_maxAb,wood_maxAb,tpc1_poly1,seminat
1,1,0.344628779,1.321559631,0.675376592,2,2,0.118768996,12.93776675
2,0,0.067333617,-6.68399373,-0.772639708,1,1,0.004533816,2.834193378
3,1,-0.09246913,2.580160175,0.103969169,2,2,0.00855054,13.8857884
4,0,0.012583744,-8.062155645,-0.772639708,6,2,0.000158351,0.077869548
5,1,-0.318138627,-7.570881258,-0.443259872,0,0,0.101212186,1.060418322
6,0,-0.281604797,26.25622442,-0.41898065,5,4,0.079301262,35.3446095
7,1,0.0660054,-5.047295463,-0.126384577,4,4,0.004356713,5.908343493
8,0,-0.248801077,-4.123568662,-0.49266562,4,4,0.061901976,5.44689088
9,1,0.273064799,-4.844221899,0.534991116,9,9,0.074564385,4.129336057
10,0,0.141229025,-7.033576657,-0.772639708,4,3,0.019945637,2.135027524
11,1,-0.079628118,-3.697802207,0.479082799,3,3,0.006340637,5.372947717
12,0,-0.343792994,-4.588559217,-0.772639708,4,4,0.118193622,7.025062404
13,1,0.484009278,20.122754,1.295340964,7,7,0.234264982,33.96390034
14,0,-0.100283392,-7.635605782,-0.772639708,1,1,0.010056759,0.930969274
15,1,0.025065162,3.443171868,0.999025633,4,4,0.000628262,13.08595075
16,0,0.242015504,-7.94565911,-0.208167569,4,4,0.058571504,0.310862618
17,1,0.205689794,23.20711836,0.749212215,12,10,0.042308291,37.61956672
18,0,0.25802541,-5.849224011,-0.129310951,3,3,0.066577112,3.068287918
19,1,-0.357436303,2.885514956,0.904781642,3,3,0.12776071,12.38637302
20,0,-0.34556389,-6.733959769,-0.059812351,0,0,0.119414402,2.638789317
